Harry Winks,Leicester City,"£ 90,000 (€ 105,044, $114,590)"
Sven Botman,Newcastle Utd,"£ 90,000 (€ 105,044, $114,590)"
Stefan Ortega,Manchester City,"£ 90,000 (€ 105,044, $114,590)"
Benoît Badiashile,Chelsea,"£ 90,000 (€ 105,044, $114,590)"
Jack Harrison,Everton,"£ 90,000 (€ 105,044, $114,590)"
Willian,Fulham,"£ 90,000 (€ 105,044, $114,590)"
Diogo Dalot,Manchester Utd,"£ 85,000 (€ 99,208, $108,224)"
Rasmus Højlund,Manchester Utd,"£ 85,000 (€ 99,208, $108,224)"
Pedro Porro,Tottenham,"£ 85,000 (€ 99,208, $108,224)"
Radu Drăgușin,Tottenham,"£ 85,000 (€ 99,208, $108,224)"
Michail Antonio,West Ham,"£ 85,000 (€ 99,208, $108,224)"
Joe Gomez,Liverpool,"£ 85,000 (€ 99,208, $108,224)"
David Raya,Brentford,"£ 85,000 (€ 99,208, $108,224)"
Ben Davies,Tottenham,"£ 80,000 (€ 93,372, $101,858)"
Joachim Andersen,Crystal Palace,"£ 80,000 (€ 93,372, $101,858)"
Justin Kluivert,Bournemouth,"£ 80,000 (€ 93,372, $101,858)"
Matty Cash,Aston Villa,"£ 80,000 (€ 93,372, $101,858)"
Fábio Silva,Wolves,"£ 80,000 (€ 93,372, $101,858)"
Nélson Semedo,Wolves,"£ 80,000 (€ 93,372, $101,858)"
Boubakary Soumaré,Leicester City,"£ 80,000 (€ 93,372, $101,858)"
Ricardo Pereira,Leicester City,"£ 80,000 (€ 93,372, $101,858)"
Harvey Barnes,Newcastle Utd,"£ 80,000 (€ 93,372, $101,858)"
Joe Willock,Newcastle Utd,"£ 80,000 (€ 93,372, $101,858)"
Axel Disasi,Chelsea,"£ 80,000 (€ 93,372, $101,858)"
Kaoru Mitoma,Brighton,"£ 80,000 (€ 93,372, $101,858)"
Lewis Dunk,Brighton,"£ 80,000 (€ 93,372, $101,858)"
Idrissa Gana Gueye,Everton,"£ 80,000 (€ 93,372, $101,858)"
Michael Keane,Everton,"£ 80,000 (€ 93,372, $101,858)"
Callum Hudson-Odoi,Nott'ham Forest,"£ 80,000 (€ 93,372, $101,858)"
Player,Squad,Weekly Wages
Chris Wood,Nott'ham Forest,"£ 80,000 (€ 93,372, $101,858)"
Morgan Gibbs-White,Nott'ham Forest,"£ 80,000 (€ 93,372, $101,858)"
Alex Iwobi,Fulham,"£ 80,000 (€ 93,372, $101,858)"
Tyrell Malacia,Manchester Utd,"£ 75,000 (€ 87,536, $95,492)"
Archie Gray,Tottenham,"£ 75,000 (€ 87,536, $95,492)"
Destiny Udogie,Tottenham,"£ 75,000 (€ 87,536, $95,492)"
Fraser Forster,Tottenham,"£ 75,000 (€ 87,536, $95,492)"
Guglielmo Vicario,Tottenham,"£ 75,000 (€ 87,536, $95,492)"
