Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,01-Mar,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Season
vs Manchester City,2,26.5,33.8,38,38,3420,38,34,25,59,31,3,11,53,1,36.2,34.6,23.1,57.8,448,801,0.89,0.66,1.55,0.82,1.47,0.95,0.61,1.56,0.91,1.52,220,107,38.6,7.29,2.82,0.11,0.29,16.6,5,0.13,-2.2,-3.6,254,742,34.2,51720,25801,5103,380,87.6,4277,5020,85.2,1215,2603,46.7,19.5,1.9,199,324,168,40,18609,1585,37,112,420,570,8,44,35,4,83,468,491,12.92,339,39,38,343,11,59,1.55,37,5,6,4,5,2,575,337,8332,7160,3313,234,32.5,515,248,477,1052,1000,24,18612,3315,501,375,62,230,38,9773,121,484,284,10844,793,90,100,83,,119,20,164,0.79,35,102,-67,-1.76,36.2,92,-55.7,-1.47,0,312,2,11,2,1708,498,49.2,102,2.68,261,156,63.2,9,3,26,4,10.5,6,5,0,45.5,88.2,0.3,-11.8,-0.31,992,160,51.1,39.4,61.8,46.9,645,25,3.9,15,0.39,10.4,2019/2020
vs Manchester Utd,1,26.7,44.2,38,38,3420,38,35,24,59,32,3,14,79,2,37.7,35.3,25.2,60.5,648,1204,0.92,0.63,1.55,0.84,1.47,0.99,0.66,1.65,0.93,1.59,124,128,33.1,10.18,3.37,0.08,0.25,17.8,1,0.09,-2.7,-3.3,222,688,32.3,62581,30744,6180,310,87.3,5020,6073,82.7,1402,2837,49.4,22.4,-1.2,275,501,209,56,21519,1826,35,162,692,775,5,95,45,3,67,444,680,17.89,481,50,50,404,10,56,1.47,37,5,7,5,2,0,697,385,7158,9321,5282,301,40.3,557,320,485,1182,721,21,21522,2443,698,380,59.9,254,40.1,11798,176,572,325,13041,1184,90,100,85,,113,22,171,0.95,36,66,-30,-0.79,37.7,62.2,-24.5,-0.64,1,450,1,14,1,2037,512,47.9,66,1.74,214,146,73.8,8,12,18,8,21.1,10,3,1,23.1,62.7,0.24,-2.3,-0.06,914,124,51.4,39.1,70.3,51.2,487,10,2.1,27,0.71,15,2019/2020
vs Newcastle Utd,1,26.5,61,38,38,3420,38,56,38,94,54,2,1,57,2,65.6,64,50.4,114.4,808,1882,1.47,1,2.47,1.42,2.42,1.73,1.33,3.05,1.69,3.01,114,193,34.2,14.84,5.08,0.1,0.28,16.5,1,0.12,-9.6,-10,142,384,37,89007,45990,8883,212,89.4,8230,9358,87.9,1849,3083,60,47.6,-12.4,444,663,362,77,27552,1777,51,179,868,820,6,126,80,6,52,365,1023,26.92,749,90,58,355,10,97,2.55,72,4,7,6,5,3,562,334,6190,14017,7574,274,40.7,733,251,341,903,616,7,27554,1870,1006,359,56.8,273,43.2,16873,196,620,330,19370,1868,90,100,84,,108,18,176,1.55,58,38,20,0.53,65.6,35.5,30.1,0.79,1,436,2,1,0,1924,781,51.6,38,1,133,94,71.4,16,11,11,13,34.2,0,1,0,100,41.5,0.31,3.5,0.09,848,215,31.6,32.3,54.7,43,454,36,7.9,32,0.84,14.3,2019/2020
vs Norwich City,3,26.5,50.7,38,38,3420,38,72,50,122,68,4,2,58,2,66.5,60.9,46.6,107.6,846,1793,1.89,1.32,3.21,1.79,3.11,1.75,1.23,2.98,1.6,2.83,120,203,33.8,15.79,5.34,0.11,0.33,16.6,0,0.1,5.5,7.1,223,520,42.9,74699,39077,6951,238,87.3,6154,7294,84.4,1749,3018,58,42.9,3.4,449,628,424,103,23786,1798,26,157,893,846,3,126,88,0,39,444,1074,28.26,768,100,66,344,22,121,3.18,79,9,10,11,9,3,684,400,5880,10739,7402,278,39.4,518,324,430,1114,602,13,23793,1850,1131,433,61.9,267,38.1,13899,259,540,361,15314,1772,90,100,85,,119,19,164,2.29,75,26,49,1.29,66.5,37,29.5,0.78,1,444,5,2,1,2158,673,56.5,26,0.68,128,103,81.3,27,6,5,20,52.6,2,0,0,0,30.3,0.23,5.3,0.14,837,148,41.7,36.4,71.8,50.7,372,10,2.7,45,1.18,19.1,2019/2020
vs Sheffield Utd,2,26.7,56.9,38,38,3420,38,39,28,67,38,1,1,46,0,51,48.6,38.1,86.7,840,1420,1.03,0.74,1.76,1,1.74,1.34,1,2.34,1.28,2.28,90,137,32,11.26,3.61,0.09,0.28,17.6,0,0.12,-12,-10.6,158,520,30.4,84647,45113,8160,297,88,7419,8694,85.3,1854,3409,54.4,31.4,-10.1,326,596,258,60,26641,1993,48,210,761,946,5,99,72,9,57,334,768,20.21,559,59,59,387,5,67,1.76,51,4,4,5,2,1,481,296,8708,12112,6017,188,35.2,946,244,351,832,903,15,26644,2500,797,385,59.5,261,40.3,15689,191,550,349,17867,1410,90,100,84,,110,18,175,1.26,39,39,0,0,51,43,7.9,0.21,0,326,2,1,3,1963,886,48.4,39,1.03,110,74,65.5,12,12,14,12,31.6,1,0,0,0,38.1,0.34,2.1,0.05,1051,207,35.4,35.3,49.8,42.4,643,22,3.4,37,0.97,13.9,2019/2020
vs Southampton,2,26.5,51.1,38,38,3420,38,59,41,100,56,3,5,67,3,52.8,49.6,38.7,88.4,644,1453,1.55,1.08,2.63,1.47,2.55,1.39,1.02,2.41,1.31,2.33,130,164,36.6,11.79,4.32,0.13,0.34,16.6,2,0.11,6.2,6.4,209,614,34,63277,31887,5891,291,82.9,5607,7101,79,1529,3057,50,31.2,2.3,333,431,301,79,22977,2115,37,130,737,1032,5,92,66,5,69,407,769,20.24,546,74,52,428,9,107,2.82,75,7,12,5,6,2,619,362,7769,9935,5478,257,37.8,810,277,428,1047,824,22,22982,2401,866,469,59.1,324,40.8,12385,199,627,382,13308,1437,90,100,85,,113,21,170,1.45,60,51,9,0.24,52.8,56.1,-3.3,-0.09,1,414,3,5,0,2087,878,52,51,1.34,175,122,72,16,7,15,6,15.8,2,2,1,50,49.3,0.26,-1.7,-0.04,1009,180,43,36.7,61.9,46.7,548,18,3.3,49,1.29,17.8,2019/2020
vs Tottenham,2,26.7,48,38,38,3420,38,45,27,72,40,5,4,83,1,54.2,49.1,34,83.1,715,1554,1.18,0.71,1.89,1.05,1.76,1.43,0.9,2.32,1.29,2.19,121,174,32.7,14,4.58,0.08,0.23,17.5,1,0.09,-9.2,-9.1,210,578,36.3,71747,37162,6771,247,87.6,5788,6945,83.3,1621,2954,54.9,32.2,-7,392,530,298,85,23296,1749,49,171,740,740,6,92,69,12,54,409,956,25.16,659,82,78,411,16,74,1.95,45,6,8,6,7,2,734,410,6624,10997,5921,297,39.8,642,288,450,1184,777,17,23303,2177,890,428,62.8,253,37.2,13295,195,622,412,14591,1543,90,100,85,,106,17,175,1.16,47,61,-14,-0.37,54.2,47.9,6.3,0.17,1,442,6,4,5,2112,671,51.1,61,1.61,158,101,63.3,11,11,16,7,18.4,3,1,0,25,50.4,0.3,-5.6,-0.15,915,168,46.6,37.9,61.5,47.2,504,16,3.2,44,1.16,16.9,2019/2020
vs Watford,1,26.5,57.1,38,38,3420,38,61,37,98,53,8,8,66,1,58.1,51.2,39.4,90.6,844,1654,1.61,0.97,2.58,1.39,2.37,1.53,1.04,2.57,1.35,2.38,124,169,34.7,12.82,4.45,0.11,0.31,17.9,0,0.11,2.9,1.8,142,459,30.9,81818,43577,7916,274,87.8,6938,8154,85.1,1603,3020,53.1,32.3,-2.4,354,634,287,66,25757,1820,48,170,746,763,1,117,47,8,81,363,885,23.29,635,61,65,466,13,106,2.79,64,4,11,14,12,1,603,351,7733,12130,6172,254,44.2,823,239,386,989,818,25,25766,2339,815,446,62.4,266,37.2,15320,200,597,389,16880,1643,90,100,84,,105,21,179,1.84,64,36,28,0.74,58.1,48.9,9.3,0.24,1,356,9,8,1,2138,802,49.4,36,0.95,120,84,75.8,20,10,8,16,42.1,7,1,0,12.5,38.7,0.26,3.7,0.1,889,187,35.1,33.8,53.6,44.2,544,18,3.3,36,0.95,14.7,2019/2020
vs West Ham,4,26.6,55.9,38,38,3420,38,59,49,108,54,5,4,45,0,63.8,59.1,48.7,107.8,855,1724,1.55,1.29,2.84,1.42,2.71,1.68,1.28,2.96,1.55,2.84,92,181,36.6,13.03,4.76,0.11,0.3,16.4,1,0.12,-4.8,-5.1,163,441,37,83499,44580,8104,253,89.1,7074,8231,85.9,1603,2924,54.8,41.1,0.3,388,644,376,96,25812,1753,60,140,770,768,10,115,57,8,99,369,885,23.29,657,72,61,367,9,106,2.79,78,5,11,6,6,0,586,333,7242,12451,6371,264,39.9,855,277,392,978,715,10,25818,2189,938,445,59.7,300,40.3,15254,178,525,396,17194,1712,90,100,85,,113,19,171,1.74,62,49,13,0.34,63.8,48.6,15.2,0.4,0,356,5,4,0,2138,801,48.4,49,1.29,160,111,71.9,19,9,10,12,31.6,4,0,0,0,47.8,0.29,-1.2,-0.03,863,169,36.3,33.7,50.6,41.4,563,33,5.9,25,0.66,12.4,2019/2020
vs Wolves,1,26.5,51.7,38,38,3418,38,39,28,67,38,1,4,85,5,38,35.5,26.1,61.6,702,1411,1.03,0.74,1.76,1,1.74,1,0.69,1.69,0.94,1.62,135,126,31.8,10.42,3.32,0.1,0.3,17.3,1,0.09,1,2.5,192,528,36.4,74499,38496,7591,265,88.5,6174,7252,85.1,1485,2879,51.6,22.8,1.9,289,561,255,68,24137,1777,28,131,664,834,5,67,45,6,41,390,694,18.26,487,66,52,379,3,66,1.74,44,5,7,6,4,0,646,381,6621,12217,5539,308,37.7,775,255,380,1026,817,19,24140,2211,686,404,59,281,41,13955,143,546,365,15703,1392,90,100,86,,116,22,167,1.08,40,51,-11,-0.29,38,54.1,-16.1,-0.42,2,384,2,4,2,2039,711,47.8,51,1.34,146,97,67.8,9,14,15,8,21.1,4,0,0,0,49.6,0.32,0.6,0.02,863,165,40.9,35.8,66,49,534,22,4.1,37,0.97,15.3,2019/2020
