Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
02/05/2016,Chelsea,Tottenham,2.0,2.0,D,0.0,2.0,A,M Clattenburg,13.0,16.0,5.0,5.0,9.0,20.0,7.0,8.0,3.0,9.0,0.0,0.0,2.75,3.6,2.63,2.65,3.5,2.6,2.6,3.2,2.6,2.75,3.1,2.7,2.75,3.6,2.63
07/05/2016,Aston Villa,Newcastle,0.0,0.0,D,0.0,0.0,D,R Madley,2.0,9.0,0.0,3.0,8.0,13.0,0.0,5.0,1.0,1.0,0.0,0.0,5.75,4.2,1.65,5.25,3.9,1.6,5.0,3.9,1.6,6.0,3.6,1.62,5.75,4.0,1.65
07/05/2016,Bournemouth,West Brom,1.0,1.0,D,0.0,1.0,A,M Clattenburg,12.0,12.0,4.0,4.0,5.0,8.0,5.0,3.0,2.0,1.0,0.0,0.0,1.95,3.6,4.2,1.9,3.4,4.0,1.9,3.15,4.2,1.91,3.2,4.33,1.93,3.6,4.4
07/05/2016,Crystal Palace,Stoke,2.0,1.0,H,0.0,1.0,A,K Friend,17.0,12.0,4.0,3.0,8.0,18.0,4.0,3.0,2.0,3.0,0.0,0.0,2.05,3.5,3.9,2.05,3.2,3.7,1.85,3.45,4.0,2.1,3.25,3.6,2.05,3.5,3.9
07/05/2016,Leicester,Everton,3.0,1.0,H,2.0,0.0,H,A Marriner,32.0,9.0,8.0,5.0,4.0,12.0,12.0,4.0,0.0,3.0,0.0,0.0,1.91,4.0,4.0,1.83,3.5,4.25,1.9,3.45,3.8,1.91,3.2,4.33,1.87,3.9,4.2
07/05/2016,Norwich,Man United,0.0,1.0,A,0.0,0.0,D,C Pawson,8.0,15.0,2.0,2.0,11.0,10.0,1.0,6.0,1.0,0.0,0.0,0.0,4.5,3.6,1.91,4.1,3.4,1.87,3.7,3.5,1.9,4.5,3.1,1.91,4.75,3.6,1.87
07/05/2016,Sunderland,Chelsea,3.0,2.0,H,1.0,2.0,A,M Jones,15.0,9.0,4.0,8.0,11.0,9.0,3.0,3.0,4.0,1.0,0.0,1.0,3.0,3.5,2.45,2.95,3.3,2.35,2.6,3.2,2.6,3.0,3.2,2.38,3.0,3.5,2.45
07/05/2016,West Ham,Swansea,1.0,4.0,A,0.0,2.0,A,M Oliver,25.0,13.0,7.0,6.0,11.0,8.0,13.0,3.0,3.0,0.0,0.0,0.0,1.44,4.75,8.0,1.45,4.25,6.75,1.47,4.0,6.6,1.44,4.33,7.0,1.44,4.8,8.0
08/05/2016,Liverpool,Watford,2.0,0.0,H,1.0,0.0,H,L Mason,19.0,14.0,5.0,3.0,10.0,15.0,8.0,8.0,1.0,2.0,0.0,0.0,1.5,4.5,7.5,1.44,4.4,6.75,1.4,4.4,7.3,1.5,4.0,7.0,1.5,4.5,7.0
08/05/2016,Man City,Arsenal,2.0,2.0,D,1.0,1.0,D,A Taylor,14.0,5.0,3.0,2.0,16.0,10.0,7.0,2.0,2.0,1.0,0.0,0.0,2.5,3.6,2.9,2.55,3.4,2.6,2.4,3.2,2.85,2.5,3.1,2.9,2.55,3.5,2.88
08/05/2016,Tottenham,Southampton,1.0,2.0,A,1.0,1.0,D,J Moss,20.0,10.0,6.0,2.0,8.0,16.0,10.0,2.0,0.0,3.0,0.0,0.0,2.05,3.6,3.9,1.91,3.6,3.7,1.9,3.45,3.8,1.91,3.4,4.0,2.0,3.7,3.9
10/05/2016,West Ham,Man United,3.0,2.0,H,1.0,0.0,H,M Dean,20.0,3.0,6.0,2.0,6.0,18.0,6.0,2.0,1.0,3.0,0.0,0.0,3.0,3.5,2.45,2.85,3.5,2.4,3.0,3.2,2.3,3.0,3.25,2.4,2.9,3.5,2.5
11/05/2016,Liverpool,Chelsea,1.0,1.0,D,0.0,1.0,A,M Oliver,28.0,13.0,9.0,7.0,11.0,12.0,7.0,3.0,3.0,1.0,0.0,0.0,2.0,3.8,3.8,1.95,3.5,3.7,1.9,3.45,3.8,1.95,3.5,3.75,2.0,3.8,3.8
11/05/2016,Norwich,Watford,4.0,2.0,H,3.0,1.0,H,R East,18.0,12.0,6.0,7.0,8.0,12.0,5.0,1.0,2.0,3.0,0.0,0.0,1.83,3.75,4.75,1.75,3.75,4.33,1.8,3.6,4.0,1.8,3.3,5.0,1.83,3.75,4.75
11/05/2016,Sunderland,Everton,3.0,0.0,H,2.0,0.0,H,A Taylor,14.0,17.0,8.0,6.0,15.0,7.0,5.0,5.0,1.0,0.0,0.0,0.0,1.75,4.0,5.0,1.72,3.5,5.0,1.55,4.0,5.4,1.73,3.5,5.0,1.75,4.0,4.8
15/05/2016,Arsenal,Aston Villa,4.0,0.0,H,1.0,0.0,H,M Clattenburg,16.0,5.0,7.0,2.0,12.0,6.0,5.0,4.0,0.0,1.0,0.0,0.0,1.17,9.0,17.0,1.16,7.0,16.0,1.17,6.5,14.0,1.14,7.5,19.0,1.15,9.0,21.0
15/05/2016,Chelsea,Leicester,1.0,1.0,D,0.0,0.0,D,C Pawson,17.0,18.0,4.0,5.0,4.0,12.0,7.0,6.0,0.0,0.0,0.0,0.0,2.3,3.75,3.1,2.25,3.6,2.9,2.1,3.3,3.3,2.3,3.3,3.1,2.3,3.75,3.1
15/05/2016,Everton,Norwich,3.0,0.0,H,2.0,0.0,H,L Mason,15.0,10.0,8.0,2.0,7.0,11.0,4.0,11.0,0.0,0.0,0.0,0.0,1.8,4.0,4.5,1.75,3.8,4.33,1.85,3.45,4.0,1.75,3.75,4.5,1.8,3.9,4.6
