Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,01-Mar,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Save%.1,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Season
vs Liverpool,3,26.6,37.6,38,38,3420,38,42,29,71,38,4,6,56,2,43,36.9,27.1,64,539,972,1.11,0.76,1.87,1,1.76,1.13,0.71,1.84,0.97,1.68,172,135,41.7,8.53,3.55,0.12,0.28,17.4,0,0.12,-1,1.1,264,717,36.8,53626,26035,5448,341,85.9,4442,5433,81.8,1470,2956,49.7,19.3,1.9,240,338,198,55,20445,1613,41,125,531,613,10,70,30,3,95,469,581,15.29,424,49,32,380,8,74,1.95,54,4,3,5,7,1,675,343,8670,8259,3747,288,41.4,537,297,456,1131,1057,27,20453,3150,575,323,59.5,220,40.5,9977,141,565,306,11775,952,90,100,85,315,103,19,210,0.95,42,68,-26,-0.68,43,67.5,-24.5,-0.65,0,343,7,6,3,2091,572,51.6,68,1.79,210,145,70.5,9,9,20,8,21.1,6,0,0,0,60.9,0.27,-4.1,-0.11,965,184,49.1,38.5,71.3,48.3,644,20,3.1,36,0.95,13.4,2020/2021
vs Manchester City,3,26.4,36.1,38,38,3420,38,31,17,48,23,8,9,61,2,30.2,22.3,15,37.4,537,850,0.82,0.45,1.26,0.61,1.05,0.8,0.4,1.19,0.59,0.98,168,90,33,7.18,2.37,0.08,0.26,18.6,1,0.08,0.8,0.7,218,636,34.3,58232,28483,5835,337,88.2,4783,5559,86,1198,2471,48.5,14.9,2,200,393,180,43,19447,1491,14,97,426,532,9,56,36,8,67,451,489,12.87,350,28,36,345,8,54,1.42,30,3,3,8,10,0,647,358,8113,8067,3501,287,37.2,479,283,405,1052,713,28,19457,2984,487,342,59.4,231,40.1,10888,125,501,264,12194,840,90,100,86,309,107,22,206,0.61,32,83,-51,-1.34,30.2,68.2,-38,-1,1,390,10,9,1,1743,417,46.5,83,2.18,217,127,64.1,6,5,27,3,7.9,5,1,3,16.7,71.1,0.31,-10.9,-0.29,1063,151,41.8,35,57,40.7,487,21,4.3,31,0.82,13.6,2020/2021
vs Manchester Utd,2,26.6,44.2,38,38,3420,38,42,28,70,38,4,11,64,3,41.4,38.4,28.7,67,573,1229,1.11,0.74,1.84,1,1.74,1.09,0.75,1.84,1.01,1.76,149,137,32.3,11.16,3.61,0.09,0.28,17.8,0,0.09,0.6,-0.4,162,541,29.9,62186,30690,6334,243,88.5,6059,6998,86.6,1350,2750,49.1,23.7,-0.7,314,389,241,58,22321,1667,18,121,617,648,5,89,45,2,60,511,746,19.63,566,52,36,437,7,67,1.76,43,10,2,5,7,0,656,369,8167,9359,5007,296,41.6,546,362,478,1134,724,11,22325,2587,700,341,59,237,41,11878,158,540,314,14115,1220,90,100,86,316,100,19,213,0.76,44,73,-29,-0.76,41.4,60.1,-18.6,-0.49,1,412,3,11,3,2048,413,43.1,73,1.92,207,135,69.6,6,11,21,8,21.1,10,1,0,9.1,59.9,0.24,-10.1,-0.26,997,171,40.3,35.1,57.2,43,503,22,4.4,29,0.76,15,2020/2021
vs Newcastle Utd,2,26.6,61.8,38,38,3420,38,59,41,100,55,4,7,60,3,58.3,54.4,40.5,94.9,851,1771,1.55,1.08,2.63,1.45,2.53,1.54,1.07,2.6,1.43,2.5,115,183,32.3,14.92,4.82,0.1,0.3,17.7,1,0.1,0.7,0.6,156,424,36.8,84335,43945,9151,191,90.6,7970,9045,88.1,1779,3027,58.8,38.1,0.5,435,628,377,82,27295,1643,19,136,844,723,7,108,80,5,70,387,1031,27.13,776,87,50,369,16,108,2.84,84,4,7,4,6,3,534,276,6945,13456,7127,237,40.4,634,272,372,906,632,9,27300,2012,997,340,62,207,37.8,15912,192,554,305,19388,1756,90,100,85,316,99,18,211,1.58,62,46,16,0.42,58.3,43.4,14.9,0.39,1,432,3,7,2,1973,655,50.8,46,1.21,137,92,70.8,17,9,12,12,31.6,6,1,0,14.3,44.1,0.28,0.1,0,940,170,33.7,32.1,56,41.2,508,19,3.7,46,1.21,16,2020/2021
vs Sheffield Utd,1,26.7,58.5,38,38,3420,38,60,45,105,57,3,4,39,1,62.2,59.1,45,104.1,828,1606,1.58,1.18,2.76,1.5,2.68,1.64,1.18,2.82,1.56,2.74,91,203,37.7,14.18,5.34,0.11,0.28,17.5,0,0.11,-2.2,-2.1,188,455,41.3,83459,44671,8549,220,89.5,7891,8978,87.9,1931,3231,59.8,38.5,0,415,570,322,62,26973,1864,24,163,718,841,4,81,101,18,57,353,981,25.82,701,88,61,445,19,105,2.76,66,9,10,13,5,2,529,301,8278,12514,6434,206,43.4,718,262,296,825,690,9,26977,2292,912,426,59.2,294,40.8,15796,190,553,340,18866,1597,90,100,83,319,99,18,216,2.34,63,20,43,1.13,62.2,32.6,29.6,0.78,1,304,3,4,1,1942,798,52.6,20,0.53,96,76,82.3,29,2,7,21,55.3,3,1,0,25,25.3,0.22,6.3,0.17,1039,174,32.2,32.6,54.5,42,527,25,4.7,42,1.11,15.7,2020/2021
vs Southampton,2,26.5,47.8,38,38,3420,38,67,44,111,59,8,6,58,3,53.1,46.1,34.6,80.6,555,1407,1.76,1.16,2.92,1.55,2.71,1.4,0.91,2.31,1.21,2.12,98,169,40.3,11.03,4.45,0.14,0.35,16.7,4,0.11,13.9,12.9,215,534,40.3,57801,27190,6165,242,84.4,5661,6801,83.2,1460,2755,53,30,9.4,316,407,297,63,22352,1861,25,120,667,873,6,72,55,11,89,399,767,20.18,533,81,52,405,10,117,3.08,80,3,12,12,7,3,644,355,7097,10104,5351,258,42.9,527,301,428,1072,680,14,22361,2207,831,390,53.4,341,46.6,11913,187,600,386,13664,1389,90,100,85,315,100,22,216,1.68,68,47,21,0.55,53.1,41.2,11.8,0.31,2,438,7,6,0,2055,713,57.5,47,1.24,163,115,74.2,19,7,12,13,34.2,5,1,0,16.7,42.6,0.23,-4.4,-0.12,933,167,41.8,36.3,59.5,44.1,427,12,2.8,45,1.18,15.5,2020/2021
vs Tottenham,1,26.5,48.3,38,38,3420,38,42,24,66,32,10,5,77,1,49.1,41.2,31.8,73.1,723,1514,1.11,0.63,1.74,0.84,1.47,1.29,0.84,2.13,1.09,1.92,107,145,30.5,12.53,3.82,0.07,0.22,17.4,0,0.09,-7.1,-9.2,165,474,34.8,73391,36871,7308,217,88.7,6007,7044,85.3,1461,2785,52.5,31.9,-7.8,376,561,345,77,23489,1643,11,109,754,656,6,92,65,12,76,433,889,23.39,669,76,52,428,10,76,2,49,6,4,4,12,1,646,381,6735,10940,6067,312,43.6,618,326,429,1075,615,15,23499,2113,901,406,59.4,277,40.6,13448,196,591,359,15238,1499,90,100,85,313,104,18,210,1.16,45,68,-23,-0.61,49.1,53.1,-4,-0.1,0,495,8,5,2,2165,647,51.1,68,1.79,172,106,63.4,12,8,18,6,15.8,5,0,0,0,54.8,0.3,-11.2,-0.3,915,183,37.5,33.9,60.4,45.1,416,17,4.1,51,1.34,17.9,2020/2021
vs West Brom,2,26.6,62.4,38,38,3420,38,73,52,125,66,7,4,50,1,67.9,59.3,44.1,103.4,931,1802,1.92,1.37,3.29,1.74,3.11,1.79,1.16,2.95,1.56,2.72,75,232,39.5,15.47,6.11,0.11,0.28,17.7,1,0.1,5.1,6.7,118,348,33.9,87962,48418,9018,253,88.8,7663,8828,86.8,1599,2948,54.2,42,7.9,452,719,395,84,27166,1855,32,138,841,822,5,129,99,8,60,296,1074,28.26,804,80,65,382,11,132,3.47,100,6,7,11,6,2,554,328,7386,12659,7357,241,47.7,709,221,328,882,672,13,27177,2092,1039,385,58.7,271,41.3,15605,209,585,310,18747,1778,90,100,84,317,100,20,215,2.03,76,35,41,1.08,67.9,35.8,32,0.84,1,431,7,4,2,2044,771,52.1,35,0.92,110,77,71.8,22,11,5,16,42.1,4,0,0,0,30.9,0.26,-2.1,-0.06,858,180,26.8,29.5,46.6,38.7,463,33,7.1,42,1.11,13.8,2020/2021
vs West Ham,2,26.6,57.1,38,38,3420,38,43,34,77,40,3,4,52,1,48.7,44.8,36.6,81.4,826,1698,1.13,0.89,2.03,1.05,1.95,1.28,0.96,2.24,1.18,2.14,116,143,31.2,12.08,3.76,0.09,0.28,18.2,0,0.1,-5.7,-4.8,173,478,36.2,87826,46685,8776,242,90.1,7354,8481,86.7,1485,2815,52.8,32.8,-2.6,359,630,353,83,26350,1619,34,114,740,670,9,85,59,9,59,405,826,21.74,651,47,52,352,6,77,2.03,62,3,5,3,3,1,562,328,7385,12947,6280,244,45,738,289,364,926,710,9,26356,2267,847,349,60.9,224,39.1,15829,169,554,290,18163,1679,90,100,86,312,105,21,211,1.08,47,62,-15,-0.39,48.7,55.4,-6.7,-0.18,1,366,5,4,2,2001,677,47.8,62,1.63,161,100,62.7,11,8,19,7,18.4,2,1,1,33.3,48.1,0.29,-11.9,-0.31,1020,203,33.9,31.9,54.5,42.6,596,20,3.4,33,0.87,16.9,2020/2021
vs Wolves,2,26.6,50.7,38,38,3417,38,49,34,83,42,7,4,62,6,49.5,43.2,31.1,74.3,698,1574,1.29,0.89,2.18,1.11,2,1.3,0.82,2.12,1.14,1.96,129,144,33.2,11.42,3.79,0.1,0.29,17,0,0.1,-0.5,-1.2,156,395,39.5,74078,39322,7713,275,89.6,6476,7483,86.5,1534,2713,56.5,30.4,2.9,326,525,324,71,23854,1643,28,148,736,676,7,76,67,7,65,387,778,20.47,561,65,49,409,11,88,2.32,59,7,7,5,9,1,620,339,6459,11712,5889,311,39.9,576,258,345,965,706,15,23862,2112,832,334,54.7,277,45.3,13749,152,509,311,16144,1555,90,100,85,311,101,19,215,1.58,52,36,16,0.42,49.5,36.5,13,0.34,1,405,7,4,2,1871,596,50.9,36,0.95,153,119,79.1,17,9,12,13,34.2,4,0,0,0,34.1,0.2,0.1,0,828,172,32.5,32.4,45.8,38,565,29,5.1,26,0.68,12.9,2020/2021
