Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
49,Luke Shaw,eng ENG,LB,Manchester Utd,28,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
50,Lucas Paquetá,br BRA,AM,West Ham,26,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
51,Alexis Mac Allister,ar ARG,CM,Liverpool,25,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",Unverified estimation
52,Alisson,br BRA,GK,Liverpool,31,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
53,Ryan Gravenberch,nl NED,CM,Liverpool,22,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",Unverified estimation
54,Boubacar Kamara,fr FRA,DM,Aston Villa,24,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
55,Youri Tielemans,be BEL,CM,Aston Villa,27,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
56,Joelinton,br BRA,CM,Newcastle Utd,27,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",Unverified estimation
57,Lloyd Kelly,eng ENG,CB,Newcastle Utd,25,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
58,Kalvin Phillips,eng ENG,DM,Manchester City,28,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
59,Mateo Kovačić,hr CRO,CM,Manchester City,30,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",Unverified estimation
60,Kepa Arrizabalaga,es ESP,GK,Chelsea,29,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
61,Moisés Caicedo,ec ECU,DM,Chelsea,22,"£ 150,000 (€ 175,073, $190,984)","£ 7,800,000 (€ 9,103,790, $9,931,159)",
62,Darwin Núñez,uy URU,CF,Liverpool,25,"£ 140,000 (€ 163,401, $178,252)","£ 7,280,000 (€ 8,496,870, $9,269,082)",
63,Diogo Jota,pt POR,LW,Liverpool,27,"£ 140,000 (€ 163,401, $178,252)","£ 7,280,000 (€ 8,496,870, $9,269,082)",
64,Jamie Vardy,eng ENG,CF,Leicester City,37,"£ 140,000 (€ 163,401, $178,252)","£ 7,280,000 (€ 8,496,870, $9,269,082)",
65,Ollie Watkins,eng ENG,CF,Aston Villa,28,"£ 130,000 (€ 151,730, $165,519)","£ 6,760,000 (€ 7,889,951, $8,607,004)",Unverified estimation
66,Matheus Nunes,pt POR,CM,Manchester City,25,"£ 130,000 (€ 151,730, $165,519)","£ 6,760,000 (€ 7,889,951, $8,607,004)",Unverified estimation
67,Cole Palmer,eng ENG,AM,Chelsea,22,"£ 130,000 (€ 151,730, $165,519)","£ 6,760,000 (€ 7,889,951, $8,607,004)",
68,Abdoulaye Doucouré,ml MLI,CM,Everton,31,"£ 130,000 (€ 151,730, $165,519)","£ 6,760,000 (€ 7,889,951, $8,607,004)",
69,Bernd Leno,de GER,GK,Fulham,32,"£ 130,000 (€ 151,730, $165,519)","£ 6,760,000 (€ 7,889,951, $8,607,004)",
